1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%
$0,$0,$5,$600,"$1,506","$2,500","$3,400","$4,559","$5,500","$6,560","$7,916","$8,796","$10,000","$10,043","$11,264","$12,000","$13,000","$14,000","$15,000","$15,010","$16,000","$17,000","$18,000","$19,000","$20,000","$20,000","$20,210","$21,045","$22,002","$23,000","$24,000","$24,960","$25,000","$25,223","$26,040","$27,040","$28,001","$29,000","$30,000","$30,000","$30,024","$31,000","$32,000","$32,509","$34,000","$35,000","$35,002","$35,568","$36,310","$37,610","$38,426","$40,000","$40,001","$40,150","$41,508","$42,231","$43,680","$45,000","$45,075","$46,126","$47,982","$49,014","$50,000","$50,029","$51,013","$52,126","$54,023","$55,019","$56,169","$58,222","$60,000","$60,107","$62,003","$64,421","$65,240","$67,990","$70,000","$71,003","$73,859","$75,067","$77,850","$80,010","$82,016","$85,056","$89,428","$91,992","$96,000","$100,002","$102,014","$108,033","$114,119","$120,502","$129,048","$140,001","$150,300","$165,000","$187,222","$219,999","$300,800"
